filename,pupil_x,pupil_y
gaze_pxm15p0_pym15p0_256.webp,-15.0,-15.0
gaze_pxm13p0_pym15p0_256.webp,-13.0,-15.0
gaze_pxm11p0_pym15p0_256.webp,-11.0,-15.0
gaze_pxm9p0_pym15p0_256.webp,-9.0,-15.0
gaze_pxm7p0_pym15p0_256.webp,-7.0,-15.0
gaze_pxm5p0_pym15p0_256.webp,-5.0,-15.0
gaze_pxm3p0_pym15p0_256.webp,-3.0,-15.0
gaze_pxm1p0_pym15p0_256.webp,-1.0,-15.0
gaze_px1p0_pym15p0_256.webp,1.0,-15.0
gaze_px3p0_pym15p0_256.webp,3.0,-15.0
gaze_px5p0_pym15p0_256.webp,5.0,-15.0
gaze_px7p0_pym15p0_256.webp,7.0,-15.0
gaze_px9p0_pym15p0_256.webp,9.0,-15.0
gaze_px11p0_pym15p0_256.webp,11.0,-15.0
gaze_px13p0_pym15p0_256.webp,13.0,-15.0
gaze_px15p0_pym15p0_256.webp,15.0,-15.0
gaze_pxm15p0_pym13p0_256.webp,-15.0,-13.0
gaze_pxm13p0_pym13p0_256.webp,-13.0,-13.0
gaze_pxm11p0_pym13p0_256.webp,-11.0,-13.0
gaze_pxm9p0_pym13p0_256.webp,-9.0,-13.0
gaze_pxm7p0_pym13p0_256.webp,-7.0,-13.0
gaze_pxm5p0_pym13p0_256.webp,-5.0,-13.0
gaze_pxm3p0_pym13p0_256.webp,-3.0,-13.0
gaze_pxm1p0_pym13p0_256.webp,-1.0,-13.0
gaze_px1p0_pym13p0_256.webp,1.0,-13.0
gaze_px3p0_pym13p0_256.webp,3.0,-13.0
gaze_px5p0_pym13p0_256.webp,5.0,-13.0
gaze_px7p0_pym13p0_256.webp,7.0,-13.0
gaze_px9p0_pym13p0_256.webp,9.0,-13.0
gaze_px11p0_pym13p0_256.webp,11.0,-13.0
gaze_px13p0_pym13p0_256.webp,13.0,-13.0
gaze_px15p0_pym13p0_256.webp,15.0,-13.0
gaze_pxm15p0_pym11p0_256.webp,-15.0,-11.0
gaze_pxm13p0_pym11p0_256.webp,-13.0,-11.0
gaze_pxm11p0_pym11p0_256.webp,-11.0,-11.0
gaze_pxm9p0_pym11p0_256.webp,-9.0,-11.0
gaze_pxm7p0_pym11p0_256.webp,-7.0,-11.0
gaze_pxm5p0_pym11p0_256.webp,-5.0,-11.0
gaze_pxm3p0_pym11p0_256.webp,-3.0,-11.0
gaze_pxm1p0_pym11p0_256.webp,-1.0,-11.0
gaze_px1p0_pym11p0_256.webp,1.0,-11.0
gaze_px3p0_pym11p0_256.webp,3.0,-11.0
gaze_px5p0_pym11p0_256.webp,5.0,-11.0
gaze_px7p0_pym11p0_256.webp,7.0,-11.0
gaze_px9p0_pym11p0_256.webp,9.0,-11.0
gaze_px11p0_pym11p0_256.webp,11.0,-11.0
gaze_px13p0_pym11p0_256.webp,13.0,-11.0
gaze_px15p0_pym11p0_256.webp,15.0,-11.0
gaze_pxm15p0_pym9p0_256.webp,-15.0,-9.0
gaze_pxm13p0_pym9p0_256.webp,-13.0,-9.0
gaze_pxm11p0_pym9p0_256.webp,-11.0,-9.0
gaze_pxm9p0_pym9p0_256.webp,-9.0,-9.0
gaze_pxm7p0_pym9p0_256.webp,-7.0,-9.0
gaze_pxm5p0_pym9p0_256.webp,-5.0,-9.0
gaze_pxm3p0_pym9p0_256.webp,-3.0,-9.0
gaze_pxm1p0_pym9p0_256.webp,-1.0,-9.0
gaze_px1p0_pym9p0_256.webp,1.0,-9.0
gaze_px3p0_pym9p0_256.webp,3.0,-9.0
gaze_px5p0_pym9p0_256.webp,5.0,-9.0
gaze_px7p0_pym9p0_256.webp,7.0,-9.0
gaze_px9p0_pym9p0_256.webp,9.0,-9.0
gaze_px11p0_pym9p0_256.webp,11.0,-9.0
gaze_px13p0_pym9p0_256.webp,13.0,-9.0
gaze_px15p0_pym9p0_256.webp,15.0,-9.0
gaze_pxm15p0_pym7p0_256.webp,-15.0,-7.0
gaze_pxm13p0_pym7p0_256.webp,-13.0,-7.0
gaze_pxm11p0_pym7p0_256.webp,-11.0,-7.0
gaze_pxm9p0_pym7p0_256.webp,-9.0,-7.0
gaze_pxm7p0_pym7p0_256.webp,-7.0,-7.0
gaze_pxm5p0_pym7p0_256.webp,-5.0,-7.0
gaze_pxm3p0_pym7p0_256.webp,-3.0,-7.0
gaze_pxm1p0_pym7p0_256.webp,-1.0,-7.0
gaze_px1p0_pym7p0_256.webp,1.0,-7.0
gaze_px3p0_pym7p0_256.webp,3.0,-7.0
gaze_px5p0_pym7p0_256.webp,5.0,-7.0
gaze_px7p0_pym7p0_256.webp,7.0,-7.0
gaze_px9p0_pym7p0_256.webp,9.0,-7.0
gaze_px11p0_pym7p0_256.webp,11.0,-7.0
gaze_px13p0_pym7p0_256.webp,13.0,-7.0
gaze_px15p0_pym7p0_256.webp,15.0,-7.0
gaze_pxm15p0_pym5p0_256.webp,-15.0,-5.0
gaze_pxm13p0_pym5p0_256.webp,-13.0,-5.0
gaze_pxm11p0_pym5p0_256.webp,-11.0,-5.0
gaze_pxm9p0_pym5p0_256.webp,-9.0,-5.0
gaze_pxm7p0_pym5p0_256.webp,-7.0,-5.0
gaze_pxm5p0_pym5p0_256.webp,-5.0,-5.0
